corpus,model,kfold,model_num,epoch,discrepancy,train_acc,train_f1,train_p,train_r,train_qwk,vali_acc,vali_f1,vali_p,vali_r,vali_qwk,test_acc,test_f1,test_p,test_r,test_qwk,time_taken
weebit,bert,0,10,2.198083067092652,0.051795810032067124,0.9404,0.9390199359493115,0.9426696497204512,0.9426696497204512,0.9823523612343488,0.8910256410256411,0.8872241259172444,0.8983448500890362,0.8983448500890362,0.9615686274509804,0.8817891373801917,0.8789986076206354,0.8864450538385514,0.8864450538385514,0.9577248270561107,1130.283844947815
weebit,bert,0,11,2.3961661341853033,0.04948365518041242,0.9504,0.9502916632642826,0.9506355235916862,0.9506355235916862,0.9853436324024559,0.9006410256410257,0.9008080080838702,0.9042833302544798,0.9042833302544798,0.968798751950078,0.8817891373801917,0.8818877385775641,0.8847930661076852,0.8847930661076852,0.959375,1230.5890333652496
weebit,bert,0,12,2.594249201277955,0.04361467886591974,0.9448,0.9445375651959635,0.945274888908661,0.945274888908661,0.9840425531914894,0.9006410256410257,0.9009228863300438,0.9045794483294484,0.9045794483294484,0.9711163153786104,0.8817891373801917,0.8815332943091706,0.8837470068670547,0.8837470068670547,0.9596899224806201,1340.0844943523407
weebit,bert,0,13,2.792332268370607,0.052457024760579674,0.9528,0.9526539411339668,0.9533293568411038,0.9533293568411038,0.9857016073365545,0.9006410256410257,0.9001969163733872,0.9035287495224906,0.9035287495224906,0.9688473520249221,0.8913738019169329,0.8913063833632654,0.8948608009598947,0.8948608009598947,0.9646153846153847,1439.6186966896057
weebit,bert,0,14,2.9904153354632586,0.05632783812151487,0.9628,0.9627287800757356,0.9628196405192483,0.9628196405192483,0.9886702444841979,0.907051282051282,0.9064009419542207,0.9079560546665809,0.9079560546665809,0.9725058915946583,0.9009584664536742,0.9013036801069167,0.9029661535996227,0.9029661535996227,0.9686520376175549,1545.8886218070984
weebit,bert,1,0,0.19808306709265175,0.033182227773690176,0.5884,0.565001284755387,0.6315067330630254,0.6315067330630254,0.8110986547085202,0.5512820512820513,0.5318190569816968,0.5678287995602254,0.5678287995602254,0.8015686274509803,0.5623003194888179,0.540188187821062,0.6110543506802671,0.6110543506802671,0.8005843681519358,1653.2044034004211
weebit,bert,1,1,0.3961661341853035,0.00014929826121734546,0.6688,0.6448835189998139,0.723390883300744,0.723390883300744,0.8868046571798189,0.6666666666666666,0.6450328172610312,0.7145236153788498,0.7145236153788498,0.8621291448516579,0.6964856230031949,0.6763847111641305,0.7706292792782446,0.7706292792782446,0.8929765886287625,1753.2377977371216
weebit,bert,1,2,0.5942492012779552,0.05174310528812609,0.8376,0.8381286703403579,0.8515123538259209,0.8515123538259209,0.9489008304836346,0.7884615384615384,0.7863855650522318,0.7931360640424456,0.7931360640424456,0.91725768321513,0.8306709265175719,0.8293625279463622,0.8398702624669091,0.8398702624669091,0.9410864575363428,1851.7824594974518
weebit,bert,1,3,0.792332268370607,0.02068928258026481,0.8376,0.826125702879822,0.8573004367989355,0.8573004367989355,0.940906368536634,0.8108974358974359,0.8054364202995572,0.8463829647555736,0.8463829647555736,0.9136400322841001,0.8083067092651757,0.7852165291717472,0.822322661364195,0.822322661364195,0.9363707776904949,1952.7664513587952
weebit,bert,1,4,0.9904153354632588,0.028753580668342216,0.8492,0.8420845234800579,0.8541986698026492,0.8541986698026492,0.9497377205531712,0.8173076923076923,0.8133309428117157,0.821067190197734,0.821067190197734,0.9170506912442397,0.8434504792332268,0.8350039608809738,0.8526751833082394,0.8526751833082394,0.9428571428571428,2055.1951427459717
